22.10.2015 21:46;23.10.2015 05:30;80%;07:44;:);Drank coffee:Drank tea:Worked out;70;0
24.10.2015 00:32;24.10.2015 08:12;77%;07:40;:);Drank coffee:Drank tea:Worked out;;0
24.10.2015 22:38;25.10.2015 06:33;81%;07:55;:);Drank coffee:Drank tea;;0
26.10.2015 23:09;27.10.2015 06:05;77%;06:55;:);Drank coffee:Drank tea;65;0
27.10.2015 21:34;28.10.2015 05:35;78%;08:01;:|;Drank coffee:Worked out;;0
28.10.2015 22:28;29.10.2015 06:20;83%;07:51;:|;Drank tea:Worked out;53;0
29.10.2015 22:30;30.10.2015 06:10;81%;07:40;:|;Drank tea:Worked out;57;0
31.10.2015 01:01;31.10.2015 07:50;50%;06:48;:);Drank coffee:Drank tea;;0
02.11.2015 22:00;03.11.2015 06:10;83%;08:09;:|;Drank coffee:Drank tea:Worked out;55;0
03.11.2015 22:46;04.11.2015 06:09;75%;07:23;:|;Drank coffee:Drank tea:Worked out;;0
04.11.2015 22:49;05.11.2015 06:00;65%;07:11;:|;Drank coffee:Drank tea:Worked out;;0
05.11.2015 21:36;06.11.2015 05:29;77%;07:52;:|;Drank coffee:Drank tea:Worked out;;0
07.11.2015 00:19;07.11.2015 08:13;93%;07:54;:);Drank coffee:Drank tea:Worked out;98;0
08.11.2015 23:28;09.11.2015 06:20;69%;06:52;:);Drank coffee:Drank tea;;0
09.11.2015 21:59;10.11.2015 05:41;88%;07:41;:);Drank coffee:Drank tea:Worked out;;0
10.11.2015 22:56;11.11.2015 06:28;83%;07:32;:);Drank coffee:Drank tea:Worked out;;0
11.11.2015 22:57;12.11.2015 06:20;72%;07:23;:);Drank coffee:Drank tea;;0
13.11.2015 22:59;14.11.2015 07:46;96%;08:46;:);Drank coffee:Drank tea;59;0
15.11.2015 22:17;16.11.2015 06:30;72%;08:13;:);Drank coffee:Drank tea;62;0
18.11.2015 22:07;19.11.2015 05:30;80%;07:23;:);Ate late:Drank coffee:Drank tea:Worked out;63;0
19.11.2015 23:10;20.11.2015 06:00;73%;06:50;:);Drank coffee:Drank tea:Worked out;62;0
22.11.2015 21:57;23.11.2015 05:30;83%;07:33;:);Drank tea;;0
23.11.2015 22:15;24.11.2015 05:00;74%;06:44;:);Drank coffee:Drank tea:Worked out;;0
24.11.2015 22:33;25.11.2015 06:30;87%;07:57;:);Drank coffee:Drank tea:Worked out;;0
25.11.2015 23:26;26.11.2015 06:20;69%;06:54;:);Drank coffee:Drank tea:Worked out;;0
26.11.2015 22:25;27.11.2015 06:20;81%;07:55;:);Drank coffee:Drank tea:Worked out;;0
28.11.2015 01:20;28.11.2015 07:46;58%;06:25;:);Drank coffee:Drank tea:Worked out;59;0
29.11.2015 22:20;30.11.2015 06:20;68%;07:59;:);Drank tea;;0
30.11.2015 21:23;01.12.2015 06:19;64%;08:55;:);Drank coffee:Drank tea:Worked out;;0
01.12.2015 23:03;02.12.2015 06:20;84%;07:17;:);Drank coffee:Drank tea:Worked out;57;0
02.12.2015 22:19;03.12.2015 05:11;75%;06:51;:);Drank coffee:Drank tea;;0
03.12.2015 22:51;04.12.2015 05:01;70%;06:09;:);Ate late:Drank coffee:Drank tea;;0
06.12.2015 22:10;07.12.2015 05:31;86%;07:20;:);Drank coffee:Drank tea;68;0
07.12.2015 21:20;08.12.2015 05:00;86%;07:40;:);Drank tea:Stressful day:Worked out;61;0
08.12.2015 22:17;09.12.2015 05:45;79%;07:28;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
09.12.2015 21:57;10.12.2015 06:10;93%;08:13;:);Drank tea:Stressful day:Worked out;67;0
13.12.2015 00:08;13.12.2015 08:23;77%;08:14;:);Drank coffee;;0
13.12.2015 22:07;14.12.2015 06:09;80%;08:02;:);Drank coffee;52;0
15.12.2015 22:32;16.12.2015 06:10;75%;07:37;:);Drank coffee:Drank tea:Worked out;;0
16.12.2015 22:20;17.12.2015 05:40;84%;07:20;:);Drank coffee:Drank tea:Stressful day;;0
17.12.2015 21:07;18.12.2015 05:45;100%;08:37;:);Drank coffee:Drank tea:Worked out;;0
20.12.2015 22:19;21.12.2015 06:20;72%;08:00;:|;Drank coffee:Drank tea:Worked out;56;0
21.12.2015 22:06;22.12.2015 05:29;80%;07:23;:|;Drank coffee:Worked out;;0
