26.08.2015;21:14:00;Tuesday;27.08.2015;05:45:00;90%;08:30;:);Drank coffee:Stressful day;;0
27.08.2015;21:19:00;Wednesday;28.08.2015;05:45:00;93%;08:26;:|;;60;0
28.08.2015;22:01:00;Thursday;29.08.2015;06:00:00;85%;07:59;:);Drank coffee:Drank tea;62;0
30.08.2015;22:00:00;Friday;31.08.2015;06:00:00;84%;08:00;:);Drank coffee;66;0
31.08.2015;22:14:00;Saturday;01.09.2015;06:00:00;77%;07:46;:);Drank coffee;;0
01.09.2015;22:00:00;Sunday;02.09.2015;06:00:00;85%;07:59;:);Drank tea;65;0
02.09.2015;23:36:00;Monday;03.09.2015;07:10:00;77%;07:33;:);Drank coffee;57;0
05.09.2015;22:54:00;Tuesday;06.09.2015;06:59:00;87%;08:04;:);Drank coffee;;0
07.09.2015;22:45:00;Wednesday;08.09.2015;06:13:00;84%;07:27;:);Drank coffee:Drank tea;61;0
08.09.2015;22:03:00;Thursday;09.09.2015;06:04:00;86%;08:01;:);Drank tea:Worked out;;0
09.09.2015;22:40:00;Friday;10.09.2015;06:10:00;83%;07:29;:);Drank coffee:Drank tea:Worked out;;0
10.09.2015;22:10:00;Saturday;11.09.2015;04:57:00;77%;06:46;:);Drank coffee:Drank tea:Worked out;;0
12.09.2015;00:06:00;Sunday;12.09.2015;07:41:00;81%;07:35;:);Drank coffee:Worked out;;0
13.09.2015;22:03:00;Monday;14.09.2015;05:50:00;81%;07:47;:);Drank coffee;;0
14.09.2015;22:33:00;Tuesday;15.09.2015;06:30:00;83%;07:56;:);Drank coffee:Stressful day:Worked out;;0
15.09.2015;22:14:00;Wednesday;16.09.2015;05:55:00;70%;07:40;:);Drank coffee:Worked out;;0
16.09.2015;21:59:00;Thursday;17.09.2015;06:20:00;80%;08:20;:);Drank coffee:Drank tea:Worked out;59;0
17.09.2015;22:57:00;Friday;18.09.2015;06:20:00;60%;07:22;:);Drank coffee:Drank tea:Worked out;56;0
19.09.2015;00:31:00;Saturday;19.09.2015;06:55:00;55%;06:23;:);Drank coffee;;0
19.09.2015;22:01:00;Sunday;20.09.2015;06:48:00;91%;08:47;:);Drank coffee;;0
20.09.2015;22:07:00;Monday;21.09.2015;06:15:00;79%;08:08;:);Drank coffee:Drank tea:Worked out;55;0
22.09.2015;21:34:00;Tuesday;23.09.2015;06:15:00;81%;08:41;:);Drank coffee:Drank tea:Worked out;58;0
23.09.2015;21:37:00;Wednesday;24.09.2015;05:07:00;77%;07:29;:);Drank coffee:Drank tea:Worked out;49;0
24.09.2015;22:37:00;Thursday;25.09.2015;06:00:00;83%;07:22;:);Ate late:Drank coffee:Drank tea:Worked out;;0
27.09.2015;22:57:00;Friday;28.09.2015;07:00:00;82%;08:02;:);Drank tea;61;0
28.09.2015;21:12:00;Saturday;29.09.2015;05:15:00;90%;08:02;:);Drank tea:Worked out;60;0
29.09.2015;22:54:00;Sunday;30.09.2015;06:20:00;89%;07:25;:);Ate late:Drank coffee:Drank tea:Worked out;58;0
30.09.2015;23:57:00;Monday;01.10.2015;06:14:00;62%;06:16;:);Drank coffee:Drank tea:Worked out;55;0
03.10.2015;00:09:00;Tuesday;03.10.2015;07:26:00;69%;07:17;:);Drank coffee:Worked out;57;0
